comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: No,$0.28,False,Medium reporting,Paid in 2 months ,svg-2,Platform: digital,Bevel Code,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"opinion, editorial, column or essay",900,2017
"""The Real Deal LA pays $200/article. Minimum 400 words. You could do great enterprise, break an exclusive, be pushed back to re-writes, and it's still $200/article. That's not bad if you have a lot of real estate contacts and can convert leads into breaking within the day. But they keep the local editor busy so your draft just sits. By the time she gets to it, there might be more reporting out of new developments. More work but no more pay. Or, you block out a particular time to be ready to bounce back any edits and she's busy during that time, so you blow a couple hours in your afternoon here and there. That plus the time it takes to get paid makes this pub very, very not worth it. Avoid.""",Contract: No,$0.36,False,Medium reporting,Paid in 2 months ,svg-4,Platform: digital,The Real Deal Los Angeles,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,news story,550,2017
,Contract: No,$0.25,False,Heavy/Investigative reporting,Longer than 3 months ,svg-4,Platform: print,Flash Art,Solicited pitch (editor asked you to pitch),Rights: All rights,"opinion, editorial, column or essay",1000,2017
"""The editor told me the piece would be published online. We went through two rounds of edits and she disappeared. No one at the magazine will respond to a request to so much as know what happened with my piece. Strongly recommend not ever working with a publication with such a lack of professionalism that treats writers so disposable.""","Contract: Verbal or ""handshake"" agreement",$0.10,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: digital,Flash Art,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"criticism, review, or arts/entertainment coverage",500,2016
,"Contract: Verbal or ""handshake"" agreement",$0.27,False,Medium reporting,,ng-hide,Platform: digital,Impact,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,fob,~750,2014
,Contract: No,$0.20,False,Medium reporting,N/A ,svg-1,Platform: digital,Beyond Myth And Jargon,Other,Rights: Other / I don't know,blog post,3221,2016
,Contract: Yes,$0.33,False,Medium reporting,Paid in 6 weeks ,svg-1,Platform: digital,Citylab,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,feature,1200,2018
"""Piece went through maybe 5 edit rounds because the editor kept introducing new factual errors and also because he shifted the piece's focus, requiring a rewrite, after the 1st round. He had never been to the area before but obviously had an idea in his head of what it was like and kept trying to twist the story to his preconceived idea instead of printing the truth. I spent around 2 hours total trying to convince him that his edits were factually incorrect (for example, he changed 1 sentence to read that the town was in a mountain valley when it's 7 hours from the closest mountain range, he added ""facts"" from an incorrect Wikipedia entry, etc). In the end, it ran with untrue information because it was--in his opinion--what his readers wanted to hear. He was very polite, but I will never write for him again.""",Contract: Yes,$0.43,False,Medium reporting,Paid in 6 weeks ,svg-1,Platform: digital,Citylab,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,812,2017
"""Always easy to work with the editors. They also thoroughly edit stories.""",Contract: Yes,$0.33,False,Medium reporting,Paid in 6 weeks ,svg-1,Platform: digital,Citylab,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,news story,1200,2017
,Contract: Yes,$0.25,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-1,Platform: digital,Citylab,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,1000,2016
,Contract: Yes,$0.38,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Citylab,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,800,2016
"""Great follow-up on payment and easy to work with, though editor I worked with is now gone.""",Contract: Yes,$0.38,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Citylab,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,news story,800,2016
"""The editor made sure to line up my deadline so the check would go out on the next payment cycle, which I thought was pretty thoughtful.""",Contract: Yes,,,Medium reporting,,ng-hide,Platform: digital,Citylab,Cold pitch (no pre-existing relationship),Rights: ,news story,~750,2015
,Contract: ,$0.25,False,,,ng-hide,Platform: digital,Citylab,,Rights: ,feature,1200,2013
,Contract: ,$0.16,False,,,ng-hide,Platform: digital,Citylab,,Rights: ,"criticism, review, or arts/entertainment converage",~1250,2012
,Contract: Yes,$0.45,False,Little to no reporting,Paid in 6 weeks ,svg-1,Platform: digital,Catholic Review,Solicited pitch (editor asked you to pitch),Rights: All rights,news story,600,2017
"""This is an update -- when I had a regular ongoing publication relationship with Nerve, they only paid me $20 a piece. They solicited me directly to write this one, which was for a promotional sequence associated with the release of a new TV show on USA, and gave me $300. So YMMV!""",Contract: No,$0.20,False,Little to no reporting,,ng-hide,Platform: digital,Nerve,Ongoing/pre-existing relationship with editor or publication,Rights: ,"opinion, editorial, column or essay",~1500,2014
"""For a 1,700 word list post ""","Contract: Verbal or ""handshake"" agreement",$0.02,False,Little to no reporting,,ng-hide,Platform: digital,Nerve,Cold pitch (no pre-existing relationship),Rights: All rights,fob,~1500,2013
"""Nerve always pays $20 an article, no matter how long. I have written for them consistently over the past year. They usually take 30 days to pay and cut a cheque rather than direct deposit or Paypal.""",Contract: Yes,$0.01,False,Little to no reporting,,ng-hide,Platform: digital,Nerve,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,"opinion, editorial, column or essay",~1500,2013
,Contract: ,$0.03,False,,,ng-hide,Platform: digital,Nerve,,Rights: ,"opinion, editorial, column or essay",1000,2013
,Contract: ,$50,True,,,ng-hide,Platform: digital,Catster,,Rights: ,," opinion, editorial, column or essay",2013
,Contract: ,$75,True,,,ng-hide,Platform: digital,Catster,,Rights: ,, news story,2013
,Contract: Yes,$0.13,False,Medium reporting,,ng-hide,Platform: digital,Substance.com,Cold pitch (no pre-existing relationship),Rights: All rights,profile or interview,~1500,2014
"""Strictly piece by piece'""",Contract: ,,,,,ng-hide,,"Dungeon & Dragons Magazine (""wizards Of The Coast"")",,Rights: ,,,2013
,Contract: No,$0.05,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Amongmen,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,news story,500,2016
,Contract: No,$0.07,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Amongmen,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,news story,350,2016
"""Extensive editing and multiple drafts as editor changed direction of the piece after second draft was submitted, resulting in an entire re-work. Poor communication from editor, lack of knowledge on subject, and the copy editor actually changed words to the wrong spelling creating typos. """,Contract: Yes,$0.17,False,Heavy/Investigative reporting,,ng-hide,Platform: digital,Fox News - Travel,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"opinion, editorial, column or essay",~1500,2015
,Contract: ,$0.53,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-1,Platform: digital,The Lancet,Cold pitch (no pre-existing relationship),Rights: All rights,feature,750,2018
,Contract: ,$0.13,False,Medium reporting,Paid in 2 months ,svg-1,Platform: print,Philadelphia Inquirer,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,"opinion, editorial, column or essay",750,2018
"""Great editor. Received payment promptly. Positive experience.""",Contract: Yes,$0.29,False,Little to no reporting,Paid in 6 weeks ,svg-2,Platform: digital,Philadelphia Inquirer,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,"criticism, review, or arts/entertainment coverage",525,2017
,Contract: ,$0.13,False,Medium reporting,Paid in 15 days ,svg-2,Platform: digital,Philadelphia Inquirer,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,"opinion, editorial, column or essay",800,2016
,"Contract: Verbal or ""handshake"" agreement",$0.13,False,Little to no reporting,,ng-hide,Platform: digital,Philadelphia Inquirer,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"opinion, editorial, column or essay",~750,2015
"""Very easy to work with, Editor was very responsive and paid via Pay Pal within 48 hours of article being posted. Newer publication with some quality work... """,Contract: No,$0.20,False,Medium reporting,,ng-hide,Platform: digital,Deep South Magazine,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,profile or interview,~750,2015
"""They used to be good but sometime last fall, they changed their practices. Used to be prompt in paying but now seems like you'll never get paid. For my last invoice with them, I emailed their accounting department three times but have yet to receive a single email back (nor payment - now overdue 4+ months). On my ""avoid"" list now.""",Contract: Yes,$0.04,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: digital,Kill Screen,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,news story,500,2017
"""Despite emailing their accounting department, I've never received an email back.""",Contract: Yes,$0.02,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: digital,Kill Screen,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"criticism, review, or arts/entertainment coverage",2500,2017
"""Working with the editors is great and really smooth-sailing, but payment was slow. The team was unresponsive.""",Contract: Yes,$0.03,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-3,Platform: digital,Kill Screen,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,2000,2016
,Contract: Yes,$0.03,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-3,Platform: print,Kill Screen,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,2000,2016
"""Once you have established a pre-existing relationship with the publication (i.e. wrote an article), feedback from pitches are quick. Editor responded to this pitch within a day and greenlit it with a one week deadline. Good feedback, web editor is a pleasure to work with.""",Contract: Yes,$0.04,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-3,Platform: digital,Kill Screen,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,news story,550,2016
,Contract: Yes,$0.03,False,Medium reporting,Paid in 1 month ,svg-2,Platform: digital,Kill Screen,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,"criticism, review, or arts/entertainment coverage",800,2016
,Contract: Yes,$0.02,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-3,Platform: digital,Kill Screen,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,1000,2016
,Contract: Yes,$0.02,False,Medium reporting,Longer than 3 months ,svg-4,Platform: digital,Kill Screen,Cold pitch (no pre-existing relationship),Rights: All rights,feature,1000,2016
"""Seems to take around 45 days for payment (from the time they receive your invoice). Paid via Paypal.""",Contract: Yes,$0.04,False,Little to no reporting,Paid in 2 months ,svg-3,Platform: digital,Kill Screen,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,news story,500,2016
